date,state,new_deaths,total_deaths,new_cases,total_cases
2020-04-25,SELANGOR,1,10,1,1388
2020-04-25,SABAH,0,4,0,311
2020-04-25,WP KUALA LUMPUR,1,23,39,1154
2020-04-26,SELANGOR,0,10,6,1394
2020-04-26,SABAH,0,4,0,311
2020-04-26,WP KUALA LUMPUR,0,23,16,1170
2020-04-27,SELANGOR,0,10,4,1398
2020-04-27,SABAH,0,4,1,312
2020-04-27,WP KUALA LUMPUR,0,23,30,1200
2020-04-28,SELANGOR,1,11,5,1403
2020-04-28,SABAH,0,4,1,313
2020-04-28,WP KUALA LUMPUR,0,23,14,1214
2020-04-29,SELANGOR,0,11,1,1404
2020-04-29,SABAH,0,4,2,315
2020-04-29,WP KUALA LUMPUR,0,23,8,1222
2020-04-30,SELANGOR,0,11,27,1431
2020-04-30,SABAH,0,4,0,315
2020-04-30,WP KUALA LUMPUR,0,23,10,1232
2020-05-01,SELANGOR,0,11,24,1455
2020-05-01,SABAH,0,4,0,315
2020-05-01,WP KUALA LUMPUR,1,24,32,1264
2020-05-02,SELANGOR,0,11,63,1518
2020-05-02,SABAH,0,4,0,315
2020-05-02,WP KUALA LUMPUR,0,24,14,1278
2020-05-03,SELANGOR,1,12,11,1529
2020-05-03,SABAH,0,4,1,316
2020-05-03,WP KUALA LUMPUR,0,24,30,1308
2020-05-04,SELANGOR,0,12,21,1550
2020-05-04,SABAH,0,4,0,316
2020-05-04,WP KUALA LUMPUR,0,24,25,1333
2020-05-05,SELANGOR,1,13,5,1555
2020-05-05,SABAH,0,4,0,316
2020-05-05,WP KUALA LUMPUR,0,24,23,1356
2020-05-06,SELANGOR,1,14,9,1564
2020-05-06,SABAH,0,4,0,316
2020-05-06,WP KUALA LUMPUR,0,24,22,1378
2020-05-07,SELANGOR,0,14,16,1580
2020-05-07,SABAH,0,4,1,317
2020-05-07,WP KUALA LUMPUR,0,24,20,1398
2020-05-08,SELANGOR,0,14,6,1586
2020-05-08,SABAH,0,4,0,317
2020-05-08,WP KUALA LUMPUR,0,24,6,1404
2020-05-09,SELANGOR,0,14,10,1596
2020-05-09,SABAH,0,4,0,317
2020-05-09,WP KUALA LUMPUR,0,24,10,1414
2020-05-10,SELANGOR,0,14,8,1604
2020-05-10,SABAH,0,4,0,317
2020-05-10,WP KUALA LUMPUR,0,24,9,1423
2020-05-11,SELANGOR,0,14,3,1607
2020-05-11,SABAH,0,4,10,327
2020-05-11,WP KUALA LUMPUR,1,25,35,1458
2020-05-12,SELANGOR,0,14,3,1610
2020-05-12,SABAH,0,4,1,328
2020-05-12,WP KUALA LUMPUR,0,25,12,1470
2020-05-13,SELANGOR,0,14,2,1612
2020-05-13,SABAH,0,4,2,330
2020-05-13,WP KUALA LUMPUR,0,25,5,1475
2020-05-14,SELANGOR,0,14,1,1613
2020-05-14,SABAH,0,4,0,330
2020-05-14,WP KUALA LUMPUR,0,25,18,1493
2020-05-15,SELANGOR,0,14,14,1627
2020-05-15,SABAH,0,4,0,330
2020-05-15,WP KUALA LUMPUR,0,25,15,1508
2020-05-16,SELANGOR,0,14,1,1628
2020-05-16,SABAH,1,5,1,331
2020-05-16,WP KUALA LUMPUR,0,25,7,1515
2020-05-17,SELANGOR,0,14,8,1636
2020-05-17,SABAH,0,5,0,331
2020-05-17,WP KUALA LUMPUR,0,25,13,1528
2020-05-18,SELANGOR,0,14,8,1644
2020-05-18,SABAH,0,5,0,331
2020-05-18,WP KUALA LUMPUR,0,25,38,1566
2020-05-19,SELANGOR,0,14,6,1650
2020-05-19,SABAH,0,5,6,337
2020-05-19,WP KUALA LUMPUR,0,25,22,1588
2020-05-20,SELANGOR,0,14,15,1665
2020-05-20,SABAH,0,5,1,338
2020-05-20,WP KUALA LUMPUR,0,25,10,1598
2020-05-21,SELANGOR,0,14,8,1673
2020-05-21,SABAH,0,5,0,338
2020-05-21,WP KUALA LUMPUR,0,25,39,1637
2020-05-22,SELANGOR,1,15,20,1693
2020-05-22,SABAH,0,5,2,340
2020-05-22,WP KUALA LUMPUR,0,25,39,1676
2020-05-23,SELANGOR,0,15,37,1730
2020-05-23,SABAH,0,5,1,341
2020-05-23,WP KUALA LUMPUR,0,25,5,1681
2020-05-24,SELANGOR,0,15,46,1776
2020-05-24,SABAH,0,5,2,343
2020-05-24,WP KUALA LUMPUR,0,25,11,1692
2020-05-25,SELANGOR,0,15,53,1829
2020-05-25,SABAH,0,5,0,343
2020-05-25,WP KUALA LUMPUR,0,25,115,1807
2020-05-26,SELANGOR,0,15,9,1838
2020-05-26,SABAH,0,5,0,343
2020-05-26,WP KUALA LUMPUR,0,25,177,1984
2020-05-27,SELANGOR,0,15,5,1843
2020-05-27,SABAH,0,5,1,344
2020-05-27,WP KUALA LUMPUR,0,25,6,1990
2020-05-28,SELANGOR,0,15,2,1845
2020-05-28,SABAH,0,5,0,344
2020-05-28,WP KUALA LUMPUR,0,25,7,1997
2020-05-29,SELANGOR,0,15,28,1873
2020-05-29,SABAH,0,5,2,346
2020-05-29,WP KUALA LUMPUR,0,25,10,2007
2020-05-30,SELANGOR,0,15,5,1878
2020-05-30,SABAH,0,5,0,346
2020-05-30,WP KUALA LUMPUR,0,25,13,2020
2020-05-31,SELANGOR,0,15,31,1909
2020-05-31,SABAH,0,5,0,346
2020-05-31,WP KUALA LUMPUR,0,25,8,2028
2020-06-01,SELANGOR,0,15,11,1920
2020-06-01,SABAH,0,5,1,347
2020-06-01,WP KUALA LUMPUR,0,25,11,2039
2020-06-02,SELANGOR,0,15,6,1926
2020-06-02,SABAH,0,5,1,348
2020-06-02,WP KUALA LUMPUR,0,25,5,2044
2020-06-03,SELANGOR,0,15,2,1928
2020-06-03,SABAH,0,5,0,348
2020-06-03,WP KUALA LUMPUR,0,25,55,2099
2020-06-04,SELANGOR,0,15,2,1930
2020-06-04,SABAH,0,5,0,348
2020-06-04,WP KUALA LUMPUR,0,25,271,2370
2020-06-05,SELANGOR,0,15,9,1939
2020-06-05,SABAH,0,5,3,351
2020-06-05,WP KUALA LUMPUR,0,25,4,2374
2020-06-06,SELANGOR,1,16,14,1953
2020-06-06,SABAH,0,5,0,351
2020-06-06,WP KUALA LUMPUR,0,25,15,2389
2020-06-07,SELANGOR,0,16,12,1965
2020-06-07,SABAH,0,5,2,353
2020-06-07,WP KUALA LUMPUR,0,25,4,2393
2020-06-08,SELANGOR,0,16,3,1968
2020-06-08,SABAH,0,5,2,355
2020-06-08,WP KUALA LUMPUR,0,25,1,2394
2020-06-09,SELANGOR,0,16,3,1971
2020-06-09,SABAH,0,5,0,355
2020-06-09,WP KUALA LUMPUR,0,25,4,2398
2020-06-10,SELANGOR,1,17,0,1971
2020-06-10,SABAH,0,5,0,355
2020-06-10,WP KUALA LUMPUR,0,25,0,2398
2020-06-11,SELANGOR,0,17,3,1974
2020-06-11,SABAH,0,5,0,355
2020-06-11,WP KUALA LUMPUR,0,25,1,2399
2020-06-12,SELANGOR,0,17,13,1987
2020-06-12,SABAH,1,6,1,356
2020-06-12,WP KUALA LUMPUR,0,25,10,2409
2020-06-13,SELANGOR,0,17,7,1994
2020-06-13,SABAH,1,7,2,358
2020-06-13,WP KUALA LUMPUR,0,25,1,2410
2020-06-14,SELANGOR,0,17,2,1996
2020-06-14,SABAH,0,7,0,358
2020-06-14,WP KUALA LUMPUR,0,25,4,2414
2020-06-15,SELANGOR,0,17,2,1998
2020-06-15,SABAH,0,7,1,359
2020-06-15,WP KUALA LUMPUR,0,25,1,2415
2020-06-16,SELANGOR,0,17,1,1999
2020-06-16,SABAH,0,7,0,359
2020-06-16,WP KUALA LUMPUR,0,25,2,2417
2020-06-17,SELANGOR,0,17,5,2004
2020-06-17,SABAH,0,7,2,361
2020-06-17,WP KUALA LUMPUR,0,25,1,2418
2020-06-18,SELANGOR,0,17,2,2006
2020-06-18,SABAH,0,7,1,362
2020-06-18,WP KUALA LUMPUR,0,25,4,2422
2020-06-19,SELANGOR,0,17,3,2009
2020-06-19,SABAH,0,7,0,362
